timestamp,src_ip,src_port,dst_ip,dst_port,protocol,transport,connection_type
2025-01-09 21:34:34.798663,138.219.201.243,25768,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:35.399004,138.219.201.243,60442,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:35.999444,138.219.201.243,25800,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:36.587394,138.219.201.243,25815,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:37.199669,138.219.201.243,25838,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:37.812400,138.219.201.243,60464,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:38.429361,138.219.201.243,25876,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:39.023780,138.219.201.243,25881,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:39.619077,138.219.201.243,25896,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:40.204094,138.219.201.243,25917,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:40.805149,138.219.201.243,25930,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:41.410914,138.219.201.243,25962,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:41.996733,138.219.201.243,25971,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:42.594302,138.219.201.243,60512,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:43.195417,138.219.201.243,26000,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:43.795026,138.219.201.243,26010,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:44.391248,138.219.201.243,26041,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:44.997284,138.219.201.243,60538,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:45.617295,138.219.201.243,26059,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:46.219349,138.219.201.243,26077,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:46.824639,138.219.201.243,26090,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:47.425971,138.219.201.243,26116,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:48.024588,138.219.201.243,26125,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:48.631633,138.219.201.243,26141,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:49.233977,138.219.201.243,26158,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:49.832969,138.219.201.243,26173,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:50.431781,138.219.201.243,26197,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:51.044191,138.219.201.243,26202,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:51.654508,138.219.201.243,26220,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:52.251354,138.219.201.243,60612,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:52.838515,138.219.201.243,26254,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:53.412243,138.219.201.243,26281,192.168.128.2,445,smbd,tcp,accept
